wavelength,n
0.133755,0.482193501457
0.134063,0.484132815011
0.134372,0.486093635555
0.134682,0.488070478312
0.134993,0.490071670974
0.135304,0.492085494673
0.135616,0.49411201889
0.135928,0.496160913795
0.136242,0.498225366752
0.136556,0.500305553158
0.136871,0.502390112437
0.137186,0.50449328051
0.137502,0.506614065786
0.137819,0.508739316944
0.138137,0.510873484562
0.138455,0.513016443231
0.138775,0.515154623339
0.139094,0.517305261016
0.139415,0.519441337562
0.139737,0.521575421274
0.140059,0.523691751591
0.140382,0.525790456884
0.140705,0.527865381441
0.141029,0.529909176795
0.141355,0.531915806913
0.14168,0.533882629957
0.142007,0.535800239749
0.142334,0.537666580649
0.142663,0.539476314609
0.142991,0.541232234174
0.143321,0.542927219042
0.143651,0.544562101282
0.143983,0.546148219582
0.144314,0.547680867132
0.144647,0.549162937116
0.144981,0.55060439782
0.145315,0.552020473789
0.14565,0.553412925361
0.145986,0.554791459553
0.146322,0.55618221216
0.146659,0.557581637908
0.146997,0.559003001609
0.147336,0.560466021378
0.147676,0.561981864605
0.148016,0.563554150304
0.148358,0.565197296526
0.1487,0.566914817734
0.149042,0.568724183978
0.149386,0.570621263192
0.14973,0.572611521235
0.150076,0.574695349928
0.150421,0.576877778255
0.150768,0.579148251139
0.151116,0.581514565054
0.151464,0.583960614673
0.151813,0.586482579115
0.152163,0.589076408614
0.152514,0.59173330703
0.152866,0.594437864454
0.153218,0.597174285351
0.153571,0.599939738463
0.153925,0.602717614141
0.15428,0.605490168524
0.154636,0.608248885752
0.154992,0.610971622982
0.15535,0.613647500783
0.155708,0.616261313344
0.156067,0.618793018255
0.156426,0.621235220055
0.156787,0.623569776075
0.157148,0.625788756057
0.157511,0.627875584739
0.157874,0.629820667443
0.158238,0.631626600976
0.158602,0.6332756493
0.158968,0.634776957324
0.159335,0.636117684394
0.159702,0.63731211184
0.16007,0.638357044485
0.160439,0.639262211998
0.160809,0.64003472179
0.16118,0.640692934795
0.161551,0.641243817268
0.161923,0.641708031767
0.162297,0.642096968922
0.162671,0.642428121573
0.163046,0.642722201342
0.163422,0.642994865581
0.163798,0.643263153832
0.164176,0.643547812234
0.164555,0.643854029637
0.164934,0.644202498743
0.165314,0.644600210344
0.165695,0.645063276138
0.166077,0.645602891946
0.16646,0.646227248494
0.166844,0.646945767407
0.167228,0.647767271087
0.167614,0.648697939607
0.168,0.64974226012
0.168388,0.6509121648
0.168776,0.652213662943
0.169165,0.653651073979
0.169555,0.655235671586
0.169946,0.656975297144
0.170337,0.658875039558
0.17073,0.660944886344
0.171124,0.663191701726
0.171518,0.665620027568
0.171913,0.668234074393
0.17231,0.671037068929
0.172707,0.67403017598
0.173105,0.677207260971
0.173504,0.680566920423
0.173904,0.684097244728
0.174305,0.687786416039
0.174707,0.691622329871
